collection_name,count,time
Crypto Coven,395,5/23/22
Crypto Coven,318,5/24/22
Crypto Coven,307,5/25/22
Crypto Coven,315,5/26/22
Crypto Coven,359,5/27/22
Crypto Coven,361,5/28/22
Crypto Coven,296,5/29/22
Crypto Coven,328,5/30/22
Crypto Coven,346,5/31/22
Crypto Coven,311,6/1/22
Crypto Coven,323,6/2/22
Crypto Coven,307,6/3/22
Crypto Coven,345,6/4/22
Crypto Coven,267,6/5/22
Crypto Coven,320,6/6/22
Crypto Coven,301,6/7/22
Crypto Coven,268,6/8/22
Crypto Coven,282,6/9/22
Crypto Coven,376,6/10/22
Crypto Coven,330,6/11/22
Crypto Coven,125,6/12/22
Crypto Coven,100,6/13/22
Crypto Coven,126,6/14/22
Crypto Coven,126,6/15/22
Crypto Coven,164,6/16/22
Crypto Coven,179,6/17/22
Crypto Coven,56,6/18/22
